  7.577023680426444E-002 -4.921609602159058E-002  1.000000000000000E-004
  7.553853699307669E-002 -4.891988553507202E-002  1.000000000000000E-004
  7.528331205107155E-002 -4.865390601585259E-002  1.000000000000000E-004
  7.500655356250040E-002 -4.841575049169949E-002  1.000000000000000E-004
  7.471388148762913E-002 -4.820248682331627E-002  1.000000000000000E-004
  7.440198339819652E-002 -4.801296376820595E-002  1.000000000000000E-004
  7.407888221155427E-002 -4.784491974387368E-002  1.000000000000000E-004
  7.374587385652170E-002 -4.769567571784803E-002  1.000000000000000E-004
  7.340518725001881E-002 -4.756513266448733E-002  1.000000000000000E-004
  7.305929261658607E-002 -4.744915522193454E-002  1.000000000000000E-004
  7.270943253078405E-002 -4.734629543706331E-002  1.000000000000000E-004
  7.236222589661293E-002 -4.725750188569759E-002  1.000000000000000E-004
  7.201511591654780E-002 -4.717838872973273E-002  1.000000000000000E-004
  7.167382810705485E-002 -4.710939831960677E-002  1.000000000000000E-004
  7.134049786310494E-002 -4.705030845507090E-002  1.000000000000000E-004
  7.101505516086806E-002 -4.699783280476204E-002  1.000000000000000E-004
  7.070421398356999E-002 -4.695303087656269E-002  1.000000000000000E-004
  7.040494953005817E-002 -4.691285224811023E-002  1.000000000000000E-004
  7.012484242743054E-002 -4.687931510510601E-002  1.000000000000000E-004
  6.986513294629466E-002 -4.685107998136841E-002  1.000000000000000E-004
  6.962473441589651E-002 -4.682663096085277E-002  1.000000000000000E-004
  6.941739407023570E-002 -4.680905704886618E-002  1.000000000000000E-004
  6.923970120007666E-002 -4.679684287207612E-002  1.000000000000000E-004
  6.910215617834363E-002 -4.679051030925416E-002  1.000000000000000E-004
  6.900767233409306E-002 -4.678983009105501E-002  1.000000000000000E-004
  6.899034566149012E-002 -4.679712949950531E-002  1.000000000000000E-004
  6.905297150519030E-002 -4.681260542964477E-002  1.000000000000000E-004
  6.912118258686813E-002 -4.683407101021491E-002  1.000000000000000E-004
  6.920167309310601E-002 -4.686408940856215E-002  1.000000000000000E-004
  6.929911590926813E-002 -4.690264799688765E-002  1.000000000000000E-004
  6.940093998996510E-002 -4.694762684882695E-002  1.000000000000000E-004
  6.949508755150842E-002 -4.699590334834770E-002  1.000000000000000E-004
  6.958288986064512E-002 -4.704726718069719E-002  1.000000000000000E-004
